german,english
der Flur,the hallway
das Zimmer,the room
die Treppe,the stairs
die Ku!che,the kitchen
der Dachboden,the attic
der Fus!boden,the floor
das Bad,the bathroom
der Keller,the celler
die Garage,the garage
das Fenster,the window
die Wand,the wall
der Balkon,the balcony
das Sofa,the sofa
die Couch,the couch
der Sessel,the single seat couch
das Bett,the bed
der Stuhl,the char
der Tisch,the table
das Dachfenster,the roof window
der Schornstein,the chimney
die Blumenka!sten,the flower pot
die Kommode,the drawer
der Schrank,the cupboard
der Hocker,the stoll
das Erdgeschoss,the ground floor
die Haustu!r,the front door
der Fus!weg,the pathway
der Spielplatz,the playground
der Fahrstuhl,the elavator
die Wohnungstu!r,the apartment door
der Bewohner,the resident
die Klingel,the door bell
die Gru!nanlage,the green landscaping
die Blumenvase,the flower vase
der Couchtisch,the couch table
der Kleiderschrank,the wardrobe
das Bu!cherregal,the bookcase
die Gardine,the curtain
die Garderobe,the wardrobe
das Bild,the picture
das Arbeitszimmer,the work room
das Wohnzimmer,the living room
das Schlafzimmer,the bedroom
das Stockwerk,the level
das Esszimmer,the dining room
das Hochhaus,the high house
das Wolkenkratzer,the sky scrapper
das Baurenhaus,the farmhouse
das Reihenhaus,the row house
das Stadtviertel,the suburb
die Waschku!che,the laundry room
die Innenstadt,the inner city
der Stadtzentrum,the city centre
das Waschbecken,the sink
die Toilette,the toilet
die Wohnung,the apartment
die dusche,the shower
der Trockner,the dryer
die Waschmaschine,the washing machine
der Gefrierschrank,the freezer
der Ku!hlschrank,the fridge
der Ofen,the oven
die Geschirrspu!lmaschine,the dishwasher
der Hof,the courtyard
die Ku!chentheke,the kitchen counter
der Schreibtisch,the writing table
der Teppich,the carpet
der Boden,the floor
die Stehlampe,the standing lamp
