german,english
die Reisetasche,the travel bag
die Handtasche,the hand bag
das Geld,the money
der Pass,the passport
die Sonnencreme,the suncream
die Kreditkarte,the credit card
das Handy,the mobile phone
der Laptop,the laptop
der fotoapparat,the camera
das Aspirin,the aspirin
der Fu!hrerschein,the driver’s license
der Parkplatz,the parking spot
der Hafen,the port
der Flughafen,the airport
der Fahrkartenschalter,the ticket office
der Stau,the traffic jam
die Verspa!tung,the delay
die Ampel,the traffic light
die Tankstelle,the tank station
die Autobahn,the highway
das Gleis,the rail
der Passagier,the passenger
die Passkontrolle,customs
