german,english
das Telefon,the telephone
das Regal,the shelf
der Stift,the pen
der Bleistift,the pencil
der Kugelschreiber,the ball-point pen
das Lineal,the ruler
der Locher,the hole punch
der Tacker,the stapler
die Schere,the scissors
der Radiergummi,the eraser
der Taschenrechner,the pocket calculator
die Aktentasche,the briefcase
der Notizblock,the notepad
der Schreibblock,the writing pad
der Brief,the letter
der Bericht,the report
der Kalender,the calendar
der Terminkalender,the diary
der Schreibtish,the desk
der Drehstuhl,the swivel chair
das Handy,the mobile phone
der Computer,the computer
der Drucker,the printer
der Ablagekorb,the filling tray
der Papierkorb,the wastepaper basket
der Aktenschrank,the filling cabient
der Aktenordner,the file
das Buch,the book
das Briefpapier,the stationary
die Bu!roklammer,the paperclip
das Textverarbeitungsprogramm,the word processor
der Cloud-Speicher,the cloud storage
die Pra!sentation,the presentation
die Gescha!ftszeiten,the work hours
das kopiergera!t,the photocopier
der Konferenzraum,the conference room
die cafe!teria,the cafeteria
der Stehschreibtisch,the standing desk
die Kabine,the cubicle
das produckt,the product
das Unternehmen,the business
die Kosten,the cost
die Maus,the mouse
die Tastatur,the keyboard
der Lautsprecher,the loudspeaker
der Stuhl,the chair
die Kaffeemaschine,the coffee machine
die Lampe,the lamp
die Brille,the glasses
das Dokument,the document
das Foto,the photo
der Bildschirm,the screen
die Uhr,the watch
